image,track_status,height_ratio,white_x,yellow_x,center_x
908_cam_image_array_.jpg,selected,0.6,105.5,33.5,69.5
908_cam_image_array_.jpg,selected,0.55,97.0,37.5,67.25
969_cam_image_array_.jpg,selected,0.9,57.0,,
969_cam_image_array_.jpg,selected,0.85,54.0,,
969_cam_image_array_.jpg,selected,0.8,51.5,,
969_cam_image_array_.jpg,selected,0.75,49.5,,
969_cam_image_array_.jpg,selected,0.7,47.5,,
969_cam_image_array_.jpg,selected,0.65,45.0,,
969_cam_image_array_.jpg,selected,0.6,41.5,,
969_cam_image_array_.jpg,selected,0.55,38.5,,
1029_cam_image_array_.jpg,selected,0.9,150.0,,
1029_cam_image_array_.jpg,selected,0.85,145.0,,
1029_cam_image_array_.jpg,selected,0.8,138.0,,
1029_cam_image_array_.jpg,selected,0.75,130.0,27.5,78.75
1029_cam_image_array_.jpg,selected,0.7,124.5,30.5,77.5
1029_cam_image_array_.jpg,selected,0.65,118.0,34.5,76.25
1029_cam_image_array_.jpg,selected,0.6,111.0,42.0,76.5
1029_cam_image_array_.jpg,selected,0.55,103.0,43.0,73.0
1090_cam_image_array_.jpg,selected,0.9,151.5,,
1090_cam_image_array_.jpg,selected,0.85,145.5,18.0,81.75
1090_cam_image_array_.jpg,selected,0.8,139.0,19.0,79.0
1090_cam_image_array_.jpg,selected,0.75,132.5,,
1090_cam_image_array_.jpg,selected,0.7,124.5,31.0,77.75
1090_cam_image_array_.jpg,selected,0.65,116.0,31.5,73.75
1090_cam_image_array_.jpg,selected,0.6,106.0,33.5,69.75
1090_cam_image_array_.jpg,selected,0.55,96.5,37.0,66.75
1151_cam_image_array_.jpg,selected,0.9,145.5,,
1151_cam_image_array_.jpg,selected,0.85,139.0,,
1151_cam_image_array_.jpg,selected,0.8,132.0,,
1151_cam_image_array_.jpg,selected,0.75,123.5,19.0,71.25
1151_cam_image_array_.jpg,selected,0.7,115.0,,
1151_cam_image_array_.jpg,selected,0.65,106.5,23.5,65.0
1151_cam_image_array_.jpg,selected,0.6,97.0,26.0,61.5
1151_cam_image_array_.jpg,selected,0.55,88.0,28.0,58.0
1211_cam_image_array_.jpg,selected,0.9,146.5,,
1211_cam_image_array_.jpg,selected,0.85,141.5,19.0,80.25
1211_cam_image_array_.jpg,selected,0.8,137.0,20.5,78.75
1211_cam_image_array_.jpg,selected,0.75,131.5,27.0,79.25
1211_cam_image_array_.jpg,selected,0.7,126.0,29.5,77.75
1211_cam_image_array_.jpg,selected,0.65,120.0,42.5,81.25
1211_cam_image_array_.jpg,selected,0.6,115.0,45.0,80.0
1211_cam_image_array_.jpg,selected,0.55,109.0,,
1272_cam_image_array_.jpg,selected,0.9,150.5,,
1272_cam_image_array_.jpg,selected,0.85,145.0,,
1272_cam_image_array_.jpg,selected,0.8,139.5,27.0,83.25
1272_cam_image_array_.jpg,selected,0.75,134.0,29.5,81.75
1272_cam_image_array_.jpg,selected,0.7,128.0,34.0,81.0
1272_cam_image_array_.jpg,selected,0.65,122.0,,
1272_cam_image_array_.jpg,selected,0.6,,,
1272_cam_image_array_.jpg,selected,0.55,110.0,51.0,80.5
1332_cam_image_array_.jpg,uncertain,0.9,,,
1332_cam_image_array_.jpg,uncertain,0.85,,,
1332_cam_image_array_.jpg,uncertain,0.8,,,
1332_cam_image_array_.jpg,uncertain,0.75,,,
1332_cam_image_array_.jpg,uncertain,0.7,,,
1332_cam_image_array_.jpg,uncertain,0.65,,,
1332_cam_image_array_.jpg,uncertain,0.6,,,
1332_cam_image_array_.jpg,uncertain,0.55,,,
1393_cam_image_array_.jpg,selected,0.9,152.0,,
1393_cam_image_array_.jpg,selected,0.85,146.0,23.5,84.75
1393_cam_image_array_.jpg,selected,0.8,139.0,24.0,81.5
1393_cam_image_array_.jpg,selected,0.75,132.0,26.5,79.25
1393_cam_image_array_.jpg,selected,0.7,123.5,29.5,76.5
1393_cam_image_array_.jpg,selected,0.65,115.0,,
1393_cam_image_array_.jpg,selected,0.6,105.0,36.5,70.75
1393_cam_image_array_.jpg,selected,0.55,96.0,37.0,66.5
1454_cam_image_array_.jpg,no_track,0.9,,,
1454_cam_image_array_.jpg,no_track,0.85,,,
1454_cam_image_array_.jpg,no_track,0.8,,,
1454_cam_image_array_.jpg,no_track,0.75,,,
1454_cam_image_array_.jpg,no_track,0.7,,,
1454_cam_image_array_.jpg,no_track,0.65,,,
1454_cam_image_array_.jpg,no_track,0.6,,,
1454_cam_image_array_.jpg,no_track,0.55,,,
1514_cam_image_array_.jpg,selected,0.9,155.0,,
1514_cam_image_array_.jpg,selected,0.85,151.5,,
1514_cam_image_array_.jpg,selected,0.8,144.0,23.0,83.5
1514_cam_image_array_.jpg,selected,0.75,136.0,24.5,80.25
1514_cam_image_array_.jpg,selected,0.7,128.0,29.0,78.5
1514_cam_image_array_.jpg,selected,0.65,118.5,,
1514_cam_image_array_.jpg,selected,0.6,109.0,38.5,73.75
1514_cam_image_array_.jpg,selected,0.55,101.0,39.0,70.0
