frame,elapsed_s,capture_wait_ms,processing_ms,track_status,target_status,offset,steering_pwm
31,1.4515862700009166,41.27173000051698,5.716058998586959,selected,unavailable,,350
32,1.5041775280005822,43.45901099986804,9.086895999644184,selected,unavailable,,350
33,1.5516704199999367,38.09763099889096,9.329540000180714,selected,unavailable,,350
34,1.6017266070011829,38.61040099945967,11.380785999790533,selected,unavailable,,350
35,1.6489098190013465,35.59770600077172,11.51269199908711,selected,unavailable,,350
36,1.6986681020007381,39.40814800080261,10.276450999299414,selected,unavailable,,350
37,1.7407467259999976,32.28151700022863,9.72951600124361,selected,unavailable,,350
38,1.7884869670015178,37.61411999948905,10.057084999061772,selected,unavailable,,350
39,1.8356732900010684,36.850538999715354,10.267080999255995,selected,unavailable,,350
40,1.8827500960014731,36.723188999530976,10.285304000717588,selected,interpolated,-0.10208333333333339,354
41,1.9302645070001745,37.118719999853056,10.314357999959611,selected,unavailable,,350
42,1.9763046440002654,36.28565899998648,9.686552999482956,selected,unavailable,,350
43,2.02409168000122,37.6615999994101,10.056585000711493,selected,interpolated,-0.1958333333333334,358
44,2.070885787001316,36.808632999964175,9.912252999129123,selected,unavailable,,350
45,2.117762837000555,37.1279789997061,9.679590000814642,selected,unavailable,,350
46,2.166352583000844,7.935229001304833,9.802828999454505,selected,unavailable,,350
47,2.2112097940007516,36.48504500051786,8.303278998937458,selected,unavailable,,350
48,2.2573980030010716,37.49015900029917,8.636198999738554,selected,interpolated,-0.128125,355
49,2.3065723330000765,39.02289400139125,10.086898999361438,selected,unavailable,,350
50,2.353654324000672,37.16525600066234,9.848996000073384,selected,unavailable,,350
51,2.4011359390005964,37.211033999483334,10.202101000686525,selected,unavailable,,350
52,2.4477243080000335,36.80774299937184,9.710590000395314,selected,unavailable,,350
53,2.495219756001461,37.39580900037254,10.029696000856347,selected,unavailable,,350
54,2.5421197499999835,36.86581600049976,9.963567999875522,selected,unavailable,,350
55,2.589258426000015,37.14736800066021,9.921438999299426,selected,unavailable,,350
56,2.6365838950005127,37.166885998885846,10.09026900101162,selected,unavailable,,350
57,2.683185746000163,36.69457800060627,9.83890300085477,selected,unavailable,,350
58,2.7307662290004373,37.55606499908026,9.959234001144068,selected,unavailable,,350
59,2.777649872001348,36.84916900056123,9.966326999347075,selected,unavailable,,350
60,2.82484343500073,37.018517999968026,10.108880000188947,selected,unavailable,,350
61,2.8720063880009548,36.869538998871576,10.225674001048901,selected,unavailable,,350
62,2.9209375549999095,39.08029999911378,9.783478000827017,selected,unavailable,,350
63,2.9665147550003894,35.07382499992673,10.434615998747176,selected,unavailable,,350
64,3.0130561250007304,36.55969199826359,9.915346001434955,selected,unavailable,,350
65,3.060521592000441,37.467344000106095,9.925530999680632,selected,unavailable,,350
66,3.107350939000753,36.81681700072659,9.94023499879404,selected,unavailable,,350
67,3.154678889000934,37.08827599984943,10.171676000027219,selected,unavailable,,350
68,3.202435148001314,9.5845729993016,10.564799000349012,selected,unavailable,,350
69,3.246486112000639,35.61057699880621,8.373259001018596,selected,unavailable,,350
70,3.2936842130002333,38.48997699969914,8.650383999338374,selected,unavailable,,350
71,3.3455494260015257,40.802923000228475,11.003476998666883,selected,unavailable,,350
72,3.391776838001533,35.06088099857152,11.09223600178666,selected,unavailable,,350
73,3.43830861600145,36.05747700021311,10.402190000604605,selected,unavailable,,350
74,3.48430904900124,36.19934499874944,9.734293000292382,selected,unavailable,,350
75,3.5318533110003045,37.407808000352816,10.069362000649562,selected,unavailable,,350
76,3.578178129000662,36.73383699970145,9.521537000182434,selected,unavailable,,350
77,3.6255957820012554,37.62639700107684,9.718404999148333,selected,unavailable,,350
78,3.6730781930000376,37.40264199950616,10.007696000684518,selected,unavailable,,350
79,3.719836670001314,36.99805500036746,9.693404999779887,selected,unavailable,,350
80,3.766942217000178,37.328347001675866,9.707274999527726,selected,unavailable,,350
81,3.8145041820007464,37.404826000056346,10.088510000059614,selected,unavailable,,350
82,3.8613063440006954,36.86348299925157,9.870051000689273,selected,unavailable,,350
