image,track_status,height_ratio,white_x,yellow_x,center_x
10708_cam_image_array_.jpg,selected,0.65,112.5,29.0,70.75
10708_cam_image_array_.jpg,selected,0.6,103.5,31.0,67.25
10708_cam_image_array_.jpg,selected,0.55,94.5,35.0,64.75
10829_cam_image_array_.jpg,selected,0.9,144.0,,
10829_cam_image_array_.jpg,selected,0.85,139.0,15.0,77.0
10829_cam_image_array_.jpg,selected,0.8,133.5,18.0,75.75
10829_cam_image_array_.jpg,selected,0.75,128.0,23.5,75.75
10829_cam_image_array_.jpg,selected,0.7,122.5,24.5,73.5
10829_cam_image_array_.jpg,selected,0.65,116.5,39.0,77.75
10829_cam_image_array_.jpg,selected,0.6,110.5,41.0,75.75
10829_cam_image_array_.jpg,selected,0.55,105.0,47.0,76.0
10896_cam_image_array_.jpg,selected,0.9,154.0,28.0,91.0
10896_cam_image_array_.jpg,selected,0.85,153.0,31.5,92.25
10896_cam_image_array_.jpg,selected,0.8,148.5,35.5,92.0
10896_cam_image_array_.jpg,selected,0.75,143.0,40.5,91.75
10896_cam_image_array_.jpg,selected,0.7,137.5,,
10896_cam_image_array_.jpg,selected,0.65,131.5,54.5,93.0
10896_cam_image_array_.jpg,selected,0.6,125.0,55.0,90.0
10896_cam_image_array_.jpg,selected,0.55,119.5,58.0,88.75
10913_cam_image_array_.jpg,selected,0.9,157.0,28.5,92.75
10913_cam_image_array_.jpg,selected,0.85,154.5,33.0,93.75
10913_cam_image_array_.jpg,selected,0.8,149.5,37.0,93.25
10913_cam_image_array_.jpg,selected,0.75,144.0,,
10913_cam_image_array_.jpg,selected,0.7,138.0,,
10913_cam_image_array_.jpg,selected,0.65,130.5,52.0,91.25
10913_cam_image_array_.jpg,selected,0.6,124.0,55.5,89.75
10913_cam_image_array_.jpg,selected,0.55,117.5,64.5,91.0
10972_cam_image_array_.jpg,selected,0.9,156.5,28.0,92.25
10972_cam_image_array_.jpg,selected,0.85,154.0,30.5,92.25
10972_cam_image_array_.jpg,selected,0.8,148.0,,
10972_cam_image_array_.jpg,selected,0.75,141.0,,
10972_cam_image_array_.jpg,selected,0.7,133.5,40.0,86.75
10972_cam_image_array_.jpg,selected,0.65,124.5,41.5,83.0
10972_cam_image_array_.jpg,selected,0.6,116.0,44.0,80.0
10972_cam_image_array_.jpg,selected,0.55,107.0,46.0,76.5
11024_cam_image_array_.jpg,selected,0.9,146.5,,
11024_cam_image_array_.jpg,selected,0.85,138.0,7.5,72.75
11024_cam_image_array_.jpg,selected,0.8,129.5,9.0,69.25
11024_cam_image_array_.jpg,selected,0.75,121.0,13.0,67.0
11024_cam_image_array_.jpg,selected,0.7,111.5,,
11024_cam_image_array_.jpg,selected,0.65,102.5,20.5,61.5
11024_cam_image_array_.jpg,selected,0.6,93.0,22.5,57.75
11024_cam_image_array_.jpg,selected,0.55,84.5,26.0,55.25
11048_cam_image_array_.jpg,selected,0.9,141.0,,
11048_cam_image_array_.jpg,selected,0.85,135.5,,
11048_cam_image_array_.jpg,selected,0.8,129.5,,
11048_cam_image_array_.jpg,selected,0.75,122.5,18.0,70.25
11048_cam_image_array_.jpg,selected,0.7,115.5,20.0,67.75
11048_cam_image_array_.jpg,selected,0.65,108.0,24.0,66.0
11048_cam_image_array_.jpg,selected,0.6,99.5,30.5,65.0
11048_cam_image_array_.jpg,selected,0.55,92.0,31.5,61.75
11173_cam_image_array_.jpg,selected,0.9,128.5,3.0,65.75
11173_cam_image_array_.jpg,selected,0.85,123.0,4.5,63.75
11173_cam_image_array_.jpg,selected,0.8,117.5,,
11173_cam_image_array_.jpg,selected,0.75,112.0,,
11173_cam_image_array_.jpg,selected,0.7,106.5,17.5,62.0
11173_cam_image_array_.jpg,selected,0.65,100.0,21.0,60.5
11173_cam_image_array_.jpg,selected,0.6,93.5,25.5,59.5
