frame,elapsed_s,capture_wait_ms,vision_and_pwm_ms,track_status,control_status,near_status,far_status,near_offset,far_y,far_x,preview_error,steering_pwm,pwm_sent
125,5.936788203000106,34.91133600073226,11.580971000512363,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
126,5.984366231999957,9.705039999971632,11.77052300045034,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
127,6.030324085999382,35.983003999717766,9.845055999903707,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
128,6.075136031999136,35.0119269987772,9.692372999779764,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
129,6.124129204999917,37.48564399938914,11.403197000618093,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
130,6.172608292999939,36.665251000158605,11.690654000631184,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
131,6.21913015499922,8.754258999033482,11.31299400003627,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
132,6.259226033000232,33.36432500145747,6.650090999755776,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
133,6.306248961000165,40.092434001053334,6.6745719996106345,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
134,6.353439294000054,40.445204998832196,6.663203001153306,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
135,6.400415758998861,40.25672699935967,6.639794999500737,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
136,6.448051305998888,26.773380999657093,6.71314600003825,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
137,6.494812572000228,39.975084000616334,6.703572000333224,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
138,6.541758556999412,40.26687500117987,6.597203999263002,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
139,6.5888826310001605,40.463446001012926,6.575962999704643,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
140,6.635905596000157,40.3752069996699,6.5667779999785125,selected,ready,direct,direct,-0.04375,0.55,76.5,-0.04375,354,True
141,6.683240517999366,26.233020000290708,6.760088999726577,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
142,6.730362741000135,40.35057699911704,6.691943000987521,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
143,6.777471425999465,40.36533699945721,6.664423999609426,selected,ready,direct,direct,-0.04375,0.55,76.5,-0.04375,354,True
144,6.82444522500009,40.26874600094743,6.625054000323871,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
145,6.871609650999744,40.518519999750424,6.566537000253447,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
146,6.918910832999245,26.4753120009118,6.688256999041187,selected,ready,direct,direct,-0.040625,0.55,76.25,-0.05,354,True
147,6.965991777999079,40.26887600048212,6.732551999448333,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
148,7.013087260998873,40.42774300069141,6.588388998352457,selected,ready,direct,direct,-0.04375,0.55,76.5,-0.04375,354,True
149,7.060249185999055,40.41428100026678,6.667460998869501,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
150,7.107283280000047,40.30579999925976,6.647832000453491,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
151,7.155868886000462,27.653920999000547,6.608167001104448,selected,ready,direct,direct,-0.040625,0.55,76.25,-0.05,354,True
152,7.201405652998801,38.86782500012487,6.588147998627392,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
153,7.24869268799921,40.46848300095007,6.739348998962669,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
154,7.295742467000309,40.280171000631526,6.689517000268097,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
155,7.34282385699953,40.19037699981709,6.664553999144118,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
156,7.3901656870002626,26.501996999286348,6.6959060004592175,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
157,7.437119300999257,40.2410240003519,6.631276999542024,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
158,7.484260744999119,40.419520999421366,6.64098000015656,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
