run,image,near_x,near_status,far_x,far_y,far_status,near_offset,preview_error,steering_pwm,control_status,track_status
134112,000397_raw.jpg,77.0,interpolated,71.75,0.55,direct,-0.0375,-0.13593750000000002,361,ready,selected
134112,000419_raw.jpg,77.0,interpolated,71.75,0.55,direct,-0.0375,-0.13593750000000002,361,ready,selected
134112,000441_raw.jpg,77.0,interpolated,71.75,0.55,direct,-0.0375,-0.13593750000000002,361,ready,selected
134112,000463_raw.jpg,76.875,interpolated,71.75,0.55,direct,-0.0390625,-0.13515625,361,ready,selected
134112,000485_raw.jpg,77.0,interpolated,71.75,0.55,direct,-0.0375,-0.13593750000000002,361,ready,selected
134112,000507_raw.jpg,77.125,interpolated,71.75,0.55,direct,-0.0359375,-0.13671875,361,ready,selected
134112,000529_raw.jpg,77.0,interpolated,71.75,0.55,direct,-0.0375,-0.13593750000000002,361,ready,selected
134112,000551_raw.jpg,77.0,interpolated,71.75,0.55,direct,-0.0375,-0.13593750000000002,361,ready,selected
134112,000573_raw.jpg,76.875,interpolated,71.75,0.55,direct,-0.0390625,-0.13515625,361,ready,selected
134112,000595_raw.jpg,77.125,interpolated,71.75,0.55,direct,-0.0359375,-0.13671875,361,ready,selected
134112,000617_raw.jpg,77.0,interpolated,71.75,0.55,direct,-0.0375,-0.13593750000000002,361,ready,selected
134442,000001_raw.jpg,76.25,direct,73.75,0.6,direct,-0.046875,-0.14062499999999994,361,ready,selected
134442,000023_raw.jpg,76.25,direct,73.75,0.6,direct,-0.046875,-0.14062499999999994,361,ready,selected
134442,000045_raw.jpg,76.25,direct,74.0,0.6,direct,-0.046875,-0.13124999999999992,360,ready,selected
134442,000067_raw.jpg,76.25,direct,73.75,0.6,direct,-0.046875,-0.14062499999999994,361,ready,selected
134442,000089_raw.jpg,76.25,direct,73.75,0.6,direct,-0.046875,-0.14062499999999994,361,ready,selected
134442,000111_raw.jpg,76.25,direct,74.25,0.6,direct,-0.046875,-0.12187499999999993,360,ready,selected
134442,000133_raw.jpg,76.25,direct,73.75,0.6,direct,-0.046875,-0.14062499999999994,361,ready,selected
134442,000155_raw.jpg,76.25,direct,73.75,0.6,direct,-0.046875,-0.14062499999999994,361,ready,selected
134442,000177_raw.jpg,76.25,direct,73.75,0.6,direct,-0.046875,-0.14062499999999994,361,ready,selected
134442,000199_raw.jpg,76.25,direct,73.75,0.6,direct,-0.046875,-0.14062499999999994,361,ready,selected
134442,000221_raw.jpg,76.25,direct,74.0,0.6,direct,-0.046875,-0.13124999999999992,360,ready,selected
134442,000243_raw.jpg,76.25,direct,74.0,0.6,direct,-0.046875,-0.13124999999999992,360,ready,selected
134442,000265_raw.jpg,76.25,direct,73.75,0.6,direct,-0.046875,-0.14062499999999994,361,ready,selected
134442,000287_raw.jpg,76.25,direct,73.75,0.6,direct,-0.046875,-0.14062499999999994,361,ready,selected
134442,000309_raw.jpg,76.25,direct,74.0,0.6,direct,-0.046875,-0.13124999999999992,360,ready,selected
134442,000331_raw.jpg,76.25,direct,74.0,0.6,direct,-0.046875,-0.13124999999999992,360,ready,selected
134442,000353_raw.jpg,76.25,direct,74.0,0.6,direct,-0.046875,-0.13124999999999992,360,ready,selected
134442,000375_raw.jpg,76.25,direct,74.0,0.6,direct,-0.046875,-0.13124999999999992,360,ready,selected
134442,000397_raw.jpg,76.25,direct,73.75,0.6,direct,-0.046875,-0.14062499999999994,361,ready,selected
134442,000419_raw.jpg,76.25,direct,73.75,0.6,direct,-0.046875,-0.14062499999999994,361,ready,selected
134442,000441_raw.jpg,76.25,direct,74.0,0.6,direct,-0.046875,-0.13124999999999992,360,ready,selected
134442,000463_raw.jpg,76.25,direct,74.0,0.6,direct,-0.046875,-0.13124999999999992,360,ready,selected
134442,000485_raw.jpg,76.25,direct,73.75,0.6,direct,-0.046875,-0.14062499999999994,361,ready,selected
134442,000507_raw.jpg,76.25,direct,73.75,0.6,direct,-0.046875,-0.14062499999999994,361,ready,selected
134442,000529_raw.jpg,76.25,direct,73.75,0.6,direct,-0.046875,-0.14062499999999994,361,ready,selected
134442,000551_raw.jpg,76.25,direct,73.75,0.6,direct,-0.046875,-0.14062499999999994,361,ready,selected
134442,000573_raw.jpg,76.25,direct,73.75,0.6,direct,-0.046875,-0.14062499999999994,361,ready,selected
134442,000595_raw.jpg,76.25,direct,73.75,0.6,direct,-0.046875,-0.14062499999999994,361,ready,selected
134442,000617_raw.jpg,76.25,direct,73.75,0.6,direct,-0.046875,-0.14062499999999994,361,ready,selected
134704,000001_raw.jpg,,unavailable,,,unavailable,,,350,unavailable,no_track
134704,000023_raw.jpg,,unavailable,,,unavailable,,,350,unavailable,no_track
134704,000045_raw.jpg,,unavailable,,,unavailable,,,350,unavailable,no_track
134704,000067_raw.jpg,,unavailable,,,unavailable,,,350,unavailable,no_track
134704,000089_raw.jpg,,unavailable,,,unavailable,,,350,unavailable,no_track
134704,000111_raw.jpg,,unavailable,,,unavailable,,,350,unavailable,no_track
134704,000133_raw.jpg,,unavailable,,,unavailable,,,350,unavailable,no_track
134704,000155_raw.jpg,,unavailable,,,unavailable,,,350,unavailable,no_track
134704,000177_raw.jpg,,unavailable,,,unavailable,,,350,unavailable,no_track
134704,000199_raw.jpg,,unavailable,,,unavailable,,,350,unavailable,no_track
