image,height_ratio,yellow_candidates,white_candidates,status,center_x
1938_cam_image_array_.jpg,0.6,"[30.5, 157.0]","[102.0, 146.0]",ambiguous,
1938_cam_image_array_.jpg,0.7,[],[120.5],no_pair,
1938_cam_image_array_.jpg,0.8,[16.5],[135.5],unique_pair,76.0
1938_cam_image_array_.jpg,0.9,[12.5],[148.0],unique_pair,80.25
1999_cam_image_array_.jpg,0.6,"[39.0, 135.5]",[109.0],unique_pair,74.0
1999_cam_image_array_.jpg,0.7,"[1.0, 152.0]",[118.5],unique_pair,59.75
1999_cam_image_array_.jpg,0.8,"[13.0, 156.5]","[127.5, 151.0]",unique_pair,70.25
1999_cam_image_array_.jpg,0.9,[5.5],"[136.0, 156.0]",unique_pair,70.75
2059_cam_image_array_.jpg,0.6,[47.5],[],no_pair,
2059_cam_image_array_.jpg,0.7,"[28.5, 157.5]","[129.5, 149.5]",ambiguous,
2059_cam_image_array_.jpg,0.8,[25.0],"[141.0, 156.5]",ambiguous,
2059_cam_image_array_.jpg,0.9,[20.0],[150.0],unique_pair,85.0
2120_cam_image_array_.jpg,0.6,"[26.5, 154.5]",[99.5],unique_pair,63.0
2120_cam_image_array_.jpg,0.7,[141.0],"[117.0, 150.0]",no_pair,
2120_cam_image_array_.jpg,0.8,"[14.5, 151.0]","[132.5, 157.0]",unique_pair,73.5
2120_cam_image_array_.jpg,0.9,[8.0],[146.0],no_pair,
2181_cam_image_array_.jpg,0.6,[30.5],[102.0],unique_pair,66.25
2181_cam_image_array_.jpg,0.7,[25.0],"[120.0, 157.5]",ambiguous,
2181_cam_image_array_.jpg,0.8,[21.0],[135.5],unique_pair,78.25
2181_cam_image_array_.jpg,0.9,[],[150.0],no_pair,
2241_cam_image_array_.jpg,0.6,[],[108.5],no_pair,
2241_cam_image_array_.jpg,0.7,[33.0],[126.5],unique_pair,79.75
2241_cam_image_array_.jpg,0.8,[],[142.5],no_pair,
2241_cam_image_array_.jpg,0.9,[14.0],[153.5],no_pair,
2302_cam_image_array_.jpg,0.6,[30.5],[94.5],unique_pair,62.5
2302_cam_image_array_.jpg,0.7,[16.0],[106.0],unique_pair,61.0
2302_cam_image_array_.jpg,0.8,[],"[118.5, 147.0]",no_pair,
2302_cam_image_array_.jpg,0.9,[2.0],"[129.5, 154.0]",unique_pair,65.75
2362_cam_image_array_.jpg,0.6,"[45.5, 157.0]",[115.5],unique_pair,80.5
2362_cam_image_array_.jpg,0.7,[],"[126.0, 148.0]",no_pair,
2362_cam_image_array_.jpg,0.8,"[20.5, 152.0]","[135.0, 154.0]",ambiguous,
2362_cam_image_array_.jpg,0.9,"[12.0, 158.5]",[144.5],unique_pair,78.25
2423_cam_image_array_.jpg,0.6,[51.5],"[0.5, 119.5]",unique_pair,85.5
2423_cam_image_array_.jpg,0.7,[45.0],"[134.5, 152.0]",ambiguous,
2423_cam_image_array_.jpg,0.8,[],[146.5],no_pair,
2423_cam_image_array_.jpg,0.9,[],[155.0],no_pair,
2484_cam_image_array_.jpg,0.6,"[40.0, 142.0]","[112.0, 147.5]",ambiguous,
2484_cam_image_array_.jpg,0.7,[153.0],[131.5],no_pair,
2484_cam_image_array_.jpg,0.8,[28.0],[146.5],unique_pair,87.25
2484_cam_image_array_.jpg,0.9,[23.0],[156.0],unique_pair,89.5
2544_cam_image_array_.jpg,0.6,[23.5],[90.5],unique_pair,57.0
2544_cam_image_array_.jpg,0.7,[15.0],[104.5],unique_pair,59.75
2544_cam_image_array_.jpg,0.8,[],[118.0],no_pair,
2544_cam_image_array_.jpg,0.9,[],[130.5],no_pair,
2605_cam_image_array_.jpg,0.6,[131.0],[98.5],no_pair,
2605_cam_image_array_.jpg,0.7,"[21.0, 152.0]",[115.0],unique_pair,68.0
2605_cam_image_array_.jpg,0.8,[156.5],"[132.5, 152.5]",no_pair,
2605_cam_image_array_.jpg,0.9,[7.5],[144.5],no_pair,
2665_cam_image_array_.jpg,0.6,"[48.0, 156.5]","[0.5, 120.0, 154.0]",ambiguous,
2665_cam_image_array_.jpg,0.7,[43.5],[138.5],unique_pair,91.0
2665_cam_image_array_.jpg,0.8,[],[153.0],no_pair,
2665_cam_image_array_.jpg,0.9,[],[],no_pair,
2726_cam_image_array_.jpg,0.6,[27.0],[95.0],unique_pair,61.0
2726_cam_image_array_.jpg,0.7,[20.5],[115.5],unique_pair,68.0
2726_cam_image_array_.jpg,0.8,"[1.0, 15.0]",[134.5],ambiguous,
2726_cam_image_array_.jpg,0.9,[],[151.5],no_pair,
2787_cam_image_array_.jpg,0.6,[27.5],[101.0],unique_pair,64.25
2787_cam_image_array_.jpg,0.7,[],[117.5],no_pair,
2787_cam_image_array_.jpg,0.8,"[0.5, 17.0]",[131.5],ambiguous,
2787_cam_image_array_.jpg,0.9,[12.0],[144.0],unique_pair,78.0
2847_cam_image_array_.jpg,0.6,"[37.0, 136.5]",[105.0],unique_pair,71.0
2847_cam_image_array_.jpg,0.7,"[26.5, 154.5]","[121.0, 146.0]",ambiguous,
2847_cam_image_array_.jpg,0.8,"[146.5, 157.5]","[136.5, 155.5]",no_pair,
2847_cam_image_array_.jpg,0.9,[12.0],[150.0],no_pair,
