run,image,old_ready,new_ready,old_pwm,new_pwm,old_near,new_near,new_far,pair_status,points
133705,000353_raw.jpg,ready,ready,348,348,92.5,92.5,87.25,consistent,"[(0.55, 87.25), (0.6, 91.0), (0.65, 92.5), (0.7, 95.75), (0.75, 97.75), (0.8, 100.5)]"
133705,000375_raw.jpg,ready,ready,348,348,92.25,92.25,87.25,consistent,"[(0.55, 87.25), (0.6, 91.0), (0.65, 92.25), (0.7, 95.75), (0.75, 97.75), (0.8, 100.5)]"
133705,000397_raw.jpg,ready,ready,348,348,92.25,92.25,87.25,consistent,"[(0.55, 87.25), (0.6, 91.0), (0.65, 92.25), (0.7, 95.75), (0.75, 98.0), (0.8, 100.5)]"
133705,000419_raw.jpg,ready,ready,348,348,92.5,92.5,87.5,consistent,"[(0.55, 87.5), (0.6, 91.0), (0.65, 92.5), (0.7, 95.75), (0.75, 97.75), (0.8, 100.5)]"
133705,000441_raw.jpg,ready,ready,348,348,92.5,92.5,87.25,consistent,"[(0.55, 87.25), (0.6, 91.0), (0.65, 92.5), (0.7, 95.75), (0.75, 98.25), (0.8, 100.5)]"
133705,000463_raw.jpg,ready,ready,347,347,92.25,92.25,87.5,consistent,"[(0.55, 87.5), (0.6, 91.0), (0.65, 92.25), (0.7, 95.75), (0.75, 97.75), (0.8, 100.5)]"
133705,000485_raw.jpg,ready,ready,348,348,92.5,92.5,87.5,consistent,"[(0.55, 87.5), (0.6, 91.0), (0.65, 92.5), (0.7, 95.75), (0.75, 98.0), (0.8, 100.5)]"
133705,000507_raw.jpg,ready,ready,348,348,92.5,92.5,87.25,consistent,"[(0.55, 87.25), (0.6, 91.0), (0.65, 92.5), (0.7, 95.75), (0.75, 98.0), (0.8, 100.5)]"
133705,000529_raw.jpg,ready,ready,347,347,92.25,92.25,87.5,consistent,"[(0.55, 87.5), (0.6, 91.0), (0.65, 92.25), (0.7, 95.75), (0.75, 97.75), (0.8, 100.5)]"
133705,000551_raw.jpg,ready,ready,348,348,92.25,92.25,87.25,consistent,"[(0.55, 87.25), (0.6, 91.0), (0.65, 92.25), (0.7, 95.75), (0.75, 98.0), (0.8, 100.5)]"
133705,000573_raw.jpg,ready,ready,348,348,92.5,92.5,87.25,consistent,"[(0.55, 87.25), (0.6, 91.0), (0.65, 92.5), (0.7, 95.75), (0.75, 98.0), (0.8, 100.5)]"
